Cirrus40v2,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created：31/12/25 17:56:03,,,,BOM Export Date: 31/12/25 18:03:18,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$6.07
",,,,Website：https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(EUR),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(EUR),Ext.Price(EUR),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
,,,,,,-,2,,,EC11E15244G1,ALPSALPINE,2,1.8759,3.75,C370970,Through Hole,1,1,120,2121,In Stock,,Through Hole Encoders RoHS,Exact Matches,https://www.lcsc.com/product-detail/C370970.html
,,,,,,-,4,,,CC0805KRX7R9BB104,YAGEO,100,0.0043,0.43,C49678,0805,100,100,4000,8486200,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0805,Exact Matches,https://www.lcsc.com/product-detail/C49678.html
,,,,,,-,4,,,BLM21PG221SN1D,muRata,50,0.0145,0.73,C85840,0805,50,50,4000,1164100,In Stock,,220Ω@100MHz 1 Line Ferrite Bead 0805 2A 45mΩ,Exact Matches,https://www.lcsc.com/product-detail/C85840.html
,,,,,,-,4,,,RS-05K1002FT,FH,100,0.0018,0.18,C115309,0805,100,100,5000,1124300,In Stock,,10kΩ ±1% 125mW 0805 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C115309.html
,,,,,,-,4,,,0805W8F8201T5E,UNI-ROYAL,100,0.0017,0.17,C17828,0805,100,100,5000,353200,In Stock,,8.2kΩ ±1% 125mW 0805 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C17828.html
,,,,,,-,40,,,1N4148,LGE,50,0.0079,0.40,C402212,DO-35,50,50,5000,82100,In Stock,,Diode 75V 150mA Through Hole DO-35,Exact Matches,https://www.lcsc.com/product-detail/C402212.html
,,,,,,-,2,,,SRV05-4,TECH PUBLIC,20,0.0206,0.41,C558418,SOT-23-6,20,20,3000,183460,In Stock,,20VC Clamp 3A Ipp ESD DIODE SOT-23-6,Exact Matches,https://www.lcsc.com/product-detail/C558418.html
